Name of Dish,Image,Country/Region,Description
Achu/Achou,Taro sauce jaune avec peau de boeuf.jpg,Cameroon,"A dish consisting of pounded cocoyams and a red palm oil soup, served with cow skin, oxtail, tripe, and steamed eggplant"
Ming'oko,Mtipu leaf.jpg,Tanzania,A dish of wild edible yams
Afang,Afang_Soup.jpg,Nigeria,A vegetable soup which has its origin from the Efik people in the southeast of Nigeria
qtban,Tahricht (cropped).jpg,Morocco,Tripe wrapped around sticks and cooked over hot coals
"Akara, or koose",Bahia acaraje.jpg,"Nigeria, Benin, Ghana and Sierra Leone","A Yoruba food made from peeled beans made into balls and deep-fried, known as Koose in Hausa and Ghana, can be eaten as a snack, but is often coupled with hausa koko as part of a breakfast meal."
Alloco (Nigeria: dodo),Aloko.jpg,Côte d'Ivoire (Nigeria and Ghana),"A fried plantain snack, often served with chili pepper and onions (Nigeria and Ghana: eaten as a snack or as side with rice and/or bean)"
Amala,Amala.jpg,"Nigeria, Benin, Togo","A Yoruba Yam flour mold/""Okele"", served with a variety of soups"
Asida,Eating Asida.JPG,North Africa,"A lump of cooked wheat flour dough, sometimes with butter or honey added"
Attiéké,Attieke.JPG,Côte d'Ivoire,A side or main dish made from cassava
Babute,,Democratic Republic of Congo,"Ground beef, curry powder, and apricots"
Banga soup,Eba served with Fresh fish banga soup in a clay pot.jpg,"Nigeria, Ghana, and Cameroon","It is made from palm nuts and is eaten primarily in the southern and midwestern parts of Nigeria. In Ghana, the Akan ethnic group call it Abenkwan and it is eaten with fufu."
Bazeen,Bazin.jpg,Libya,"Barley dough served with tomato sauce, eggs, potatoes, and mutton."
Bichak,,Morocco,A stuffed tricornered appetizer.
"Biltong, Kilichi or Segwapa",BiltongStokkies.jpg,"Southern Africa, Zimbabwe, Botswana, South Africa, Cameroon, Niger, Nigeria, Zambia, Namibia","Similar to jerky. Raw meat, such as beef or game meats like ostrich, cut into strips, cured and dried. Also called segwapa in Botswana"
Bobotie,Bobotie-01.jpg,South Africa,Spiced ground meat with an egg topping.
Boerewors,Boerewors raw.jpg,"South Africa, Zimbabwe Zambia, Namibia","This is a South African spiced mixed-meat sausage that was developed by the Afrikaans-speaking white farmers, the ''Boere'', and is now used nationwide as a symbol of heritage by all races. It contains coarsely minced beef, pork and occasionally lamb. It is traditionally flavored with coriander and black pepper but can have a multitude of spices, like chilli pepper. Though each butcher has his own unique recipe, a council has been formed to evaluate exactly what can be labelled as ""boerewors"". The council has stated that the requirements for labelling it as boerewors is that the sausage must contain 80% or more ground beef, 20% or less pork (including cubes of pork fat) and the spices coriander and black pepper."
Boerewors,Boerewors_rolls_with_homemade_tomato_relish._Yum..jpg,South Africa,This a popular South African variant of the global hot dog phenomenon. It consists of a braaied boerewors served in a hot dog bun with onion relish and usually ketchup /tomato sauce and mustard. It can also be served with various chilli sauces.
Braaibroodjie,Braai broodjies.jpg,"South Africa, Namibia","This is a popular South African variant of a toasted sandwich, where the sandwich is grilled (braaied) over an open charcoal or wood flame instead of in an electric sandwich toaster. The name translates directly as ""grilled-sandwich""."
Brik,Brikdish.jpg,Tunisia,Stuffed pastry.
Briouat,Moroccan food-02.jpg,Morocco,Sweet puff pastry.
Bunny chow,Quarter Mutton Bunny Chow.jpg,"South Africa, Zimbabwe","Often simply called ""Bunny"", a fast food dish that is a hollowed out loaf of bread filled with curry."
Cachupa,Cachupa frita.jpg,"Cape Verde, São Tomé and Príncipe","A stew of hominy, beans, and meat."
Calulu,Calulu.jpg,"Angola, São Tomé and Príncipe","Dried fish with vegetables, often onions, tomatoes, okra, sweet potatoes, garlic, palm oil, and ''gimboa'' leaves (similar to spinach); often served with rice, ''funge'', palm oil beans, and ''farofa''."
Chakalaka,Chakalaka.jpg,"South Africa, Zimbabwe",Vegetable relish.
Chakhchoukha,Chakhchoukha9.JPG,Algeria,"A stew of lamb, spices, tomatoes, and flatbread."
Chermoula,Chermoula tagine.jpg,North Africa,"A marinade of oil, lemon juice, pickled lemons, herbs, garlic, cumin, and salt, most often used to flavor seafood."
Cocada amarela,,Angola,A dessert of eggs and coconut.
Couscous,Couscous-1.jpg,North Africa,A semolina pasta.
